price,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
6000,limousine,automatic,204,s_klasse,150000,diesel,mercedes_benz,yes,15.58
9000,limousine,manual,84,sandero,30000,petrol,dacia,no,8.58
2500,limousine,manual,116,focus,125000,petrol,ford,no,16.75
650,small car,manual,58,clio,125000,petrol,renault,,23.58
4100,kombi,manual,140,passat,150000,diesel,volkswagen,no,13.17
4200,limousine,manual,75,golf,125000,petrol,volkswagen,no,16.92
1199,limousine,,90,,150000,petrol,volkswagen,no,24
995,limousine,manual,101,primera,150000,petrol,nissan,no,26.33
6300,bus,manual,116,golf,125000,petrol,volkswagen,no,14.33
13950,small car,manual,184,cooper,70000,petrol,mini,no,9.5
250,,manual,65,fiesta,125000,petrol,ford,,3.75
2250,small car,manual,80,corsa,150000,petrol,opel,no,15.33
4800,suv,manual,121,wrangler,150000,petrol,jeep,,28.42
10990,,manual,174,clubman,100000,,mini,no,3
2500,small car,manual,75,sandero,90000,petrol,dacia,no,11.42
1750,cabrio,manual,131,andere,150000,petrol,saab,no,21.33
8100,kombi,automatic,179,a6,150000,,audi,no,12.42
2700,bus,manual,57,transporter,125000,diesel,volkswagen,,34.67
3800,limousine,automatic,204,andere,150000,petrol,volvo,no,30.67
31999,limousine,manual,136,3er,5000,petrol,bmw,,4.17
2200,kombi,manual,108,v40,150000,petrol,volvo,,19.5
449,small car,manual,75,3_reihe,150000,petrol,peugeot,no,22.08
6300,small car,manual,131,ibiza,150000,diesel,seat,,13
2000,small car,manual,65,micra,150000,petrol,nissan,yes,13.75
4700,limousine,manual,170,3er,150000,petrol,bmw,no,19.67
8490,limousine,manual,143,1er,150000,diesel,bmw,no,13
900,,,60,twingo,150000,,renault,,2
399,coupe,manual,113,colt,125000,petrol,mitsubishi,yes,25.83
1800,limousine,automatic,193,5er,150000,petrol,bmw,no,23.92
7900,limousine,automatic,177,a6,125000,petrol,audi,no,15.08
34900,cabrio,automatic,150,a3,20000,diesel,audi,no,6.42
7999,limousine,manual,150,1er,125000,petrol,bmw,no,14.33
7500,kombi,manual,163,6_reihe,150000,diesel,mazda,no,9.17
6299,kombi,manual,163,a4,150000,lpg,audi,no,18.83
36000,limousine,automatic,385,andere,40000,petrol,jaguar,no,8.67
1000,kombi,manual,110,golf,150000,diesel,volkswagen,no,23.5
800,bus,manual,63,andere,125000,petrol,mazda,yes,20.67
13500,cabrio,automatic,200,a4,125000,petrol,audi,,12.42
4500,bus,manual,143,5_reihe,90000,diesel,mazda,yes,13.58
3799,small car,manual,65,micra,70000,petrol,nissan,no,16.17
12000,bus,manual,151,transporter,150000,diesel,volkswagen,no,19.58
20999,limousine,automatic,204,5er,150000,diesel,bmw,no,9.5
150,coupe,manual,106,tigra,5000,,opel,yes,24.83
550,small car,manual,85,punto,150000,diesel,fiat,,19.33
3500,bus,manual,109,vito,150000,diesel,mercedes_benz,no,17.83
3399,limousine,manual,75,cordoba,125000,petrol,seat,no,14.5
1300,bus,manual,145,galaxy,150000,petrol,ford,yes,20.42
1200,kombi,manual,116,100,150000,petrol,audi,no,28.92
999,small car,manual,75,polo,150000,petrol,volkswagen,no,24.75
1200,,manual,75,golf,150000,,volkswagen,,3.58
18700,kombi,manual,140,passat,60000,diesel,volkswagen,no,7.92
2300,coupe,manual,179,a3,150000,petrol,audi,yes,19.67
7350,small car,manual,101,corsa,80000,petrol,opel,no,8.92
4700,limousine,manual,163,a4,150000,diesel,audi,no,15.25
2999,cabrio,manual,109,2_reihe,150000,petrol,peugeot,no,16.75
18900,limousine,automatic,122,golf,30000,petrol,volkswagen,no,7.58
1100,kombi,manual,127,focus,5000,diesel,ford,,18.67
9990,kombi,manual,170,octavia,90000,diesel,skoda,no,13.92
6700,suv,automatic,250,m_klasse,150000,diesel,mercedes_benz,no,17.75
4000,bus,manual,105,altea,100000,petrol,seat,no,15.92
6990,cabrio,manual,120,2_reihe,125000,petrol,peugeot,no,12.58
190,small car,manual,60,polo,30000,petrol,volkswagen,no,25.25
1950,small car,manual,50,lupo,90000,petrol,volkswagen,no,17.33
1790,kombi,manual,126,primera,125000,diesel,nissan,no,18.17
200,small car,manual,75,fiesta,150000,petrol,ford,yes,21.42
11900,limousine,manual,160,a3,100000,petrol,audi,no,12
2900,limousine,manual,163,superb,150000,diesel,skoda,no,16.33
10000,suv,automatic,163,m_klasse,150000,diesel,mercedes_benz,no,15.75
32000,limousine,automatic,183,e_klasse,70000,petrol,mercedes_benz,no,12.75
8500,,manual,81,meriva,90000,diesel,opel,,4.67
1499,bus,manual,54,andere,150000,petrol,subaru,yes,25.67
7750,limousine,manual,174,3_reihe,125000,petrol,peugeot,no,11.5
18300,bus,manual,125,c_max,20000,petrol,ford,,5.58
5400,suv,manual,141,,60000,diesel,sonstige_autos,no,12.25
2600,limousine,manual,163,c_klasse,150000,petrol,mercedes_benz,no,18.17
29950,kombi,automatic,177,a4,50000,diesel,audi,no,7.25
9655,limousine,automatic,224,e_klasse,150000,diesel,mercedes_benz,,14.5
799,kombi,manual,75,astra,150000,petrol,opel,no,23.17
600,,manual,60,polo,125000,petrol,volkswagen,,20.5
500,small car,manual,60,polo,125000,petrol,volkswagen,yes,24.67
550,limousine,manual,80,andere,100000,petrol,kia,no,23.17
2450,limousine,manual,140,laguna,125000,petrol,renault,no,18.33
3250,cabrio,manual,116,golf,150000,petrol,volkswagen,no,20.5
4499,suv,automatic,163,,150000,diesel,sonstige_autos,no,15.75
31000,coupe,manual,239,andere,150000,petrol,porsche,no,28.25
3950,bus,manual,102,transporter,150000,diesel,volkswagen,no,22.5
499,small car,manual,60,1_reihe,150000,,peugeot,no,21.5
12400,kombi,manual,136,c_klasse,150000,diesel,mercedes_benz,no,10.17
1500,small car,manual,75,corsa,150000,petrol,opel,no,17.17
18800,small car,manual,184,cooper,30000,petrol,mini,no,7.25
11000,suv,manual,239,touareg,150000,diesel,volkswagen,yes,12.58
4900,small car,manual,95,andere,125000,petrol,fiat,no,11.75
600,limousine,manual,90,andere,150000,petrol,citroen,yes,23.75
13950,limousine,manual,143,a4,125000,diesel,audi,no,12.58
15000,limousine,manual,95,andere,80000,petrol,mercedes_benz,no,48.42
21959,limousine,automatic,170,e_klasse,125000,diesel,mercedes_benz,no,9.92
1700,kombi,automatic,101,golf,150000,petrol,volkswagen,,21
890,small car,manual,55,seicento,100000,petrol,fiat,no,21.92
11590,kombi,manual,120,a4,80000,,audi,no,13
2000,bus,manual,88,transporter,150000,diesel,volkswagen,no,20.92
14000,kombi,automatic,344,andere,150000,petrol,audi,no,15.92
300,small car,manual,80,punto,150000,petrol,fiat,,20.67
450,small car,manual,75,golf,150000,,volkswagen,no,23.33
9990,kombi,automatic,232,a4,150000,diesel,audi,no,13
4699,bus,manual,136,touran,150000,diesel,volkswagen,no,17.92
2600,limousine,manual,75,colt,150000,petrol,mitsubishi,no,15.92
1790,cabrio,automatic,135,megane,150000,petrol,renault,yes,16.83
1499,small car,,45,fortwo,150000,petrol,smart,no,21.58
4490,small car,manual,73,2_reihe,100000,petrol,peugeot,no,11.25
1490,small car,manual,75,clio,150000,petrol,renault,no,19.08
7200,kombi,manual,179,,150000,petrol,audi,no,12
900,kombi,manual,60,polo,150000,petrol,volkswagen,,21.58
850,kombi,manual,75,astra,150000,petrol,opel,no,22.92
7399,kombi,manual,129,avensis,125000,petrol,toyota,no,13
800,limousine,manual,131,mondeo,150000,diesel,ford,,16.25
2650,small car,manual,103,,125000,petrol,fiat,no,17.92
24300,limousine,automatic,184,x_reihe,150000,diesel,bmw,no,8.83
3300,small car,manual,95,andere,125000,petrol,fiat,no,15
1950,,manual,102,,150000,,bmw,no,24.5
888,,manual,64,polo,20000,,volkswagen,yes,3.58
4200,others,manual,160,ducato,150000,diesel,fiat,yes,13.25
56500,cabrio,manual,436,andere,30000,petrol,chevrolet,no,8.92
1600,limousine,manual,80,andere,125000,,mazda,no,17.92
1200,small car,manual,53,golf,150000,petrol,volkswagen,no,27.08
750,,manual,102,3er,150000,,bmw,,20.67
1850,limousine,manual,75,golf,150000,petrol,volkswagen,no,20.25
4800,cabrio,automatic,90,tigra,80000,petrol,opel,no,17
3400,small car,manual,65,micra,125000,petrol,nissan,no,16.5
3000,small car,automatic,68,1_reihe,150000,petrol,peugeot,no,13.92
1800,limousine,manual,211,5er,150000,petrol,bmw,no,32.67
11900,cabrio,automatic,179,a4,150000,diesel,audi,no,12.58
26300,cabrio,automatic,245,boxster,40000,petrol,porsche,no,14.83
2950,kombi,manual,125,signum,150000,diesel,opel,no,17.42
15000,bus,automatic,140,sharan,150000,diesel,volkswagen,no,7.42
1200,kombi,manual,116,focus,150000,petrol,ford,no,20.5
1600,small car,manual,101,golf,150000,petrol,volkswagen,yes,22
8900,coupe,,160,andere,150000,petrol,porsche,,31.92
5200,small car,manual,65,micra,40000,petrol,nissan,no,10.25
150,small car,manual,45,corsa,150000,petrol,opel,,25.33
1600,cabrio,manual,75,astra,100000,petrol,opel,,24.83
3150,small car,manual,68,fiesta,150000,diesel,ford,no,15.75
32950,bus,manual,140,transporter,10000,diesel,volkswagen,no,5.42
2900,suv,manual,128,rav,150000,petrol,toyota,no,23.42
16700,coupe,manual,239,a5,150000,diesel,audi,no,12.42
2400,limousine,manual,116,beetle,150000,petrol,volkswagen,no,21.25
8500,suv,automatic,241,touareg,150000,petrol,volkswagen,no,15.58
350,kombi,manual,115,passat,150000,petrol,volkswagen,,26.83
6950,limousine,manual,136,c_reihe,125000,diesel,volvo,no,12.08
10500,limousine,automatic,224,phaeton,150000,diesel,volkswagen,no,14.5
22490,kombi,automatic,136,i_reihe,40000,diesel,hyundai,no,6.5
17200,cabrio,automatic,231,sl,90000,petrol,mercedes_benz,no,24.83
3500,limousine,manual,143,c_klasse,150000,diesel,mercedes_benz,,20.75
7100,small car,manual,75,sandero,80000,petrol,dacia,no,8.67
1000,limousine,manual,75,andere,125000,petrol,hyundai,no,18.58
24890,kombi,automatic,245,a6,125000,diesel,audi,no,8.25
7300,kombi,manual,136,focus,150000,diesel,ford,no,13.5
1999,limousine,manual,75,3_reihe,150000,petrol,peugeot,no,17.5
1200,suv,automatic,250,andere,150000,petrol,chevrolet,no,47.25
3200,limousine,manual,105,golf,90000,petrol,volkswagen,no,18.92
5200,limousine,manual,150,andere,100000,lpg,chrysler,no,13
19990,kombi,automatic,325,insignia,125000,petrol,opel,no,9.25
1400,kombi,manual,131,mondeo,150000,diesel,ford,no,16.33
230,limousine,manual,75,colt,150000,petrol,mitsubishi,no,23.33
15899,limousine,automatic,239,phaeton,150000,diesel,volkswagen,no,11.58
1450,kombi,manual,75,golf,150000,petrol,volkswagen,no,26.08
4250,,manual,131,passat,150000,,volkswagen,,4.92
2450,kombi,manual,90,mondeo,150000,diesel,ford,no,19.83
7900,small car,manual,68,up,30000,cng,volkswagen,no,7.58
1500,limousine,manual,75,civic,125000,petrol,honda,no,20.92
350,limousine,manual,90,80,150000,petrol,audi,yes,25.33
400,limousine,,150,a6,150000,petrol,audi,yes,24
2400,cabrio,manual,109,2_reihe,125000,petrol,peugeot,no,17.42
850,small car,manual,58,corsa,150000,petrol,opel,no,19.83
799,kombi,manual,131,omega,150000,diesel,opel,no,21.42
8995,small car,automatic,84,fortwo,30000,petrol,smart,no,7.5
16500,suv,automatic,235,x_reihe,150000,diesel,bmw,,11.08
1470,small car,manual,110,a3,5000,diesel,audi,no,21.08
11800,kombi,automatic,177,3er,150000,diesel,bmw,,12
18299,kombi,manual,177,a4,100000,diesel,audi,no,8.33
1350,small car,manual,75,clio,150000,petrol,renault,,21.5
12850,suv,automatic,197,sorento,150000,diesel,kia,no,8.42
1599,cabrio,,54,fortwo,125000,petrol,smart,no,18.58
2000,limousine,manual,133,andere,100000,petrol,chrysler,no,19.75
18499,small car,manual,90,a1,20000,diesel,audi,no,6.83
7300,small car,automatic,71,fortwo,50000,petrol,smart,,9.17
1500,small car,manual,58,corsa,150000,petrol,opel,yes,17.25
1000,limousine,manual,90,80,150000,petrol,audi,no,27.25
900,limousine,automatic,115,,100000,,opel,no,24.42
4750,small car,manual,90,corsa,125000,petrol,opel,no,13.83
3100,small car,,75,lupo,150000,petrol,volkswagen,no,22
1600,limousine,manual,116,focus,150000,petrol,ford,no,21.08
18800,cabrio,manual,204,z_reihe,70000,petrol,bmw,no,9.58
9850,bus,manual,111,berlingo,60000,diesel,citroen,no,9.92
1190,kombi,manual,120,laguna,150000,diesel,renault,,17.67
14500,cabrio,automatic,136,e_klasse,150000,petrol,mercedes_benz,no,24.92
8990,coupe,manual,160,scirocco,150000,petrol,volkswagen,no,11.42
999,limousine,manual,125,a3,150000,petrol,audi,no,23.17
13990,cabrio,manual,174,cooper,80000,petrol,mini,no,10.5
12900,kombi,manual,170,c_klasse,150000,diesel,mercedes_benz,no,11.83
3699,limousine,manual,75,golf,150000,petrol,volkswagen,no,14.58
11500,suv,automatic,260,,100000,petrol,sonstige_autos,no,13.58
16800,kombi,automatic,170,c_klasse,125000,diesel,mercedes_benz,no,10.75
2999,coupe,manual,136,clk,150000,lpg,mercedes_benz,no,22
600,limousine,manual,116,80,150000,petrol,audi,yes,26.92
1200,kombi,manual,136,3er,150000,diesel,bmw,,19.25
5000,limousine,manual,90,beetle,150000,diesel,volkswagen,no,19.75
10998,limousine,automatic,150,e_klasse,125000,diesel,mercedes_benz,no,15.33
1800,limousine,manual,125,a4,150000,petrol,audi,no,23.08
1250,small car,manual,60,punto,150000,petrol,fiat,,17.42
2800,,manual,109,focus,150000,,ford,,4.67
8499,kombi,manual,105,golf,150000,diesel,volkswagen,no,9.75
5800,coupe,manual,231,3er,150000,petrol,bmw,no,17.42
1390,limousine,manual,125,e_klasse,150000,diesel,mercedes_benz,no,21.67
10990,bus,automatic,140,s_max,150000,diesel,ford,no,12.42
13490,coupe,manual,143,1er,125000,diesel,bmw,no,10.75
400,limousine,manual,116,andere,150000,petrol,kia,,22.67
1650,small car,manual,75,golf,150000,petrol,volkswagen,no,23
580,kombi,manual,101,passat,150000,petrol,volkswagen,yes,22.42
1199,small car,manual,82,micra,150000,petrol,nissan,no,20
649,small car,manual,50,fiesta,125000,petrol,ford,yes,25
730,small car,manual,83,kalos,150000,lpg,daewoo,no,17.83
6500,,automatic,218,5er,150000,diesel,bmw,no,15.75
500,small car,manual,75,,150000,,peugeot,yes,23
21999,small car,automatic,185,a1,20000,petrol,audi,no,6.83
5500,kombi,manual,239,a4,150000,diesel,audi,no,11.5
1000,others,manual,115,,150000,petrol,ford,,20.17
12000,suv,automatic,231,x_reihe,150000,petrol,bmw,no,16.67
2950,limousine,manual,101,a3,150000,petrol,audi,no,20.25
4555,limousine,manual,116,avensis,150000,diesel,toyota,no,18
12800,suv,manual,173,cx_reihe,125000,diesel,mazda,no,11.75
450,kombi,manual,116,vectra,150000,lpg,opel,yes,23
7650,suv,manual,129,grand,150000,diesel,suzuki,no,14.42
4500,small car,manual,92,swift,150000,lpg,suzuki,no,15.25
4950,bus,manual,101,vivaro,125000,diesel,opel,no,15.83
1250,small car,manual,101,a_klasse,150000,petrol,mercedes_benz,no,20.83
760,small car,manual,60,ka,125000,petrol,ford,no,15.83
21500,coupe,automatic,286,3er,150000,diesel,bmw,no,12.33
3099,small car,,61,fortwo,90000,petrol,smart,no,13.83
3100,limousine,automatic,193,3er,150000,petrol,bmw,no,22.08
12990,limousine,automatic,190,a4,150000,diesel,audi,no,14
13000,suv,manual,150,tiguan,40000,petrol,volkswagen,no,11.25
650,limousine,manual,75,astra,150000,petrol,opel,no,21.42
1200,limousine,manual,75,golf,150000,petrol,volkswagen,no,22.5
600,,manual,75,colt,150000,petrol,mitsubishi,,4
6699,,manual,200,golf,150000,,volkswagen,,16
3750,,manual,150,beetle,150000,,volkswagen,no,3.58
4999,limousine,manual,75,golf,150000,petrol,volkswagen,no,14.75
9900,bus,manual,102,transporter,150000,diesel,volkswagen,no,21.17
950,kombi,manual,74,passat,5000,,volkswagen,,24.5
1500,kombi,manual,100,focus,150000,diesel,ford,yes,15.75
3300,others,manual,110,sprinter,150000,diesel,mercedes_benz,no,18
15500,limousine,manual,105,golf,40000,diesel,volkswagen,no,7.67
1300,limousine,manual,75,golf,150000,petrol,volkswagen,no,20.92
7750,small car,manual,75,mii,30000,petrol,seat,no,8.5
3000,kombi,manual,136,passat,150000,diesel,volkswagen,no,16.33
1100,small car,manual,95,focus,150000,petrol,ford,no,19.08
299,limousine,manual,75,,150000,petrol,sonstige_autos,no,21.33
2900,kombi,manual,109,3_reihe,125000,petrol,peugeot,no,15.33
3199,limousine,manual,75,golf,60000,petrol,volkswagen,no,22.33
42999,bus,automatic,224,viano,50000,,mercedes_benz,no,7.92
5200,limousine,manual,95,a_klasse,125000,petrol,mercedes_benz,no,14.33
790,limousine,manual,116,3er,150000,petrol,bmw,yes,18.08
7200,limousine,manual,44,kaefer,100000,petrol,volkswagen,,53.67
2550,coupe,manual,95,scirocco,150000,petrol,volkswagen,no,28.67
1299,limousine,manual,101,astra,150000,petrol,opel,no,22.42
500,limousine,manual,75,almera,125000,petrol,nissan,no,24.42
6000,bus,automatic,109,viano,150000,diesel,mercedes_benz,no,17.75
3850,,manual,101,polo,150000,diesel,volkswagen,,4
8000,kombi,automatic,143,3er,150000,petrol,bmw,no,11.5
2300,small car,manual,65,picanto,125000,petrol,kia,no,16.75
4700,small car,manual,102,golf,150000,petrol,volkswagen,yes,14.83
950,small car,manual,109,3_reihe,150000,petrol,peugeot,yes,18.5
150,limousine,manual,54,corsa,150000,petrol,opel,,21
4900,cabrio,manual,110,mx_reihe,90000,petrol,mazda,no,20.42
1150,small car,manual,60,ibiza,150000,petrol,seat,no,19.92
1580,bus,,82,sprinter,150000,diesel,mercedes_benz,no,18.33
9700,limousine,manual,200,golf,150000,petrol,volkswagen,no,15.33
4950,bus,automatic,105,touran,150000,diesel,volkswagen,no,16.42
590,kombi,manual,116,vectra,150000,petrol,opel,no,22.25
11000,limousine,automatic,110,a3,70000,petrol,audi,no,11.58
7450,limousine,manual,140,a6,150000,diesel,audi,no,16.92
6600,bus,manual,131,galaxy,150000,diesel,ford,no,15.25
7750,,manual,76,andere,150000,petrol,fiat,no,2.5
3100,bus,automatic,150,espace,150000,diesel,renault,no,15.42
15999,coupe,automatic,239,a5,150000,diesel,audi,no,9.08
14300,suv,automatic,224,m_klasse,150000,diesel,mercedes_benz,no,12.75
10499,kombi,manual,218,a6,150000,diesel,audi,,13.75
5500,bus,manual,131,transporter,150000,diesel,volkswagen,yes,13.42
1150,limousine,,95,a_klasse,150000,diesel,mercedes_benz,yes,18.58
5200,kombi,automatic,143,c_klasse,150000,petrol,mercedes_benz,no,17.5
3300,limousine,manual,125,a_klasse,150000,petrol,mercedes_benz,no,19.83
450,bus,manual,90,scenic,150000,petrol,renault,no,21.5
999,limousine,automatic,101,vectra,150000,petrol,opel,no,22.17
450,small car,manual,60,ka,150000,petrol,ford,no,15.08
17695,small car,manual,102,one,5000,petrol,mini,no,5.33
1200,limousine,automatic,110,bora,150000,diesel,volkswagen,no,21.75
7499,small car,manual,150,corsa,150000,petrol,opel,no,11.25
2500,small car,manual,70,fiesta,150000,,ford,,16.5
700,kombi,manual,147,vectra,150000,petrol,opel,,19.5
699,kombi,manual,81,andere,150000,petrol,mitsubishi,no,20.17
3150,small car,manual,80,corsa,150000,lpg,opel,no,13.92
11200,kombi,automatic,177,5er,150000,diesel,bmw,no,12.58
10250,,manual,110,golf,100000,diesel,volkswagen,,11.42
10350,limousine,manual,140,golf,150000,diesel,volkswagen,no,9.08
2290,kombi,manual,101,golf,150000,diesel,volkswagen,no,15.42
1750,small car,manual,55,fox,150000,petrol,volkswagen,no,15.67
4799,limousine,automatic,225,s_klasse,150000,petrol,mercedes_benz,,21
3700,kombi,manual,116,mondeo,150000,diesel,ford,no,14.25
1750,kombi,manual,120,megane,150000,,renault,no,16.25
19998,kombi,automatic,204,a6,150000,diesel,audi,no,8.5
1999,kombi,manual,107,3_reihe,150000,diesel,peugeot,no,17.33
4900,bus,manual,122,sprinter,150000,diesel,mercedes_benz,yes,24
600,,automatic,69,golf,125000,petrol,volkswagen,no,30.83
7800,bus,manual,140,sharan,150000,diesel,volkswagen,no,14.17
2850,kombi,manual,90,astra,150000,petrol,opel,no,15.25
12000,limousine,manual,211,golf,150000,petrol,volkswagen,no,10.33
1000,small car,manual,101,a3,5000,petrol,audi,yes,21
3699,limousine,automatic,122,c_klasse,150000,diesel,mercedes_benz,no,16.83
1300,limousine,manual,64,ibiza,125000,petrol,seat,yes,15.08
23900,limousine,automatic,286,x_reihe,125000,diesel,bmw,yes,9.17
500,coupe,manual,102,3er,150000,petrol,bmw,yes,21.83
11500,kombi,automatic,170,passat,125000,diesel,volkswagen,,13.33
550,coupe,manual,125,,5000,petrol,ford,,18.08
2850,limousine,manual,150,3er,150000,petrol,bmw,no,25.83
4150,,manual,102,golf,150000,petrol,volkswagen,,3
590,small car,manual,54,corsa,150000,petrol,opel,no,22
1000,limousine,manual,101,golf,150000,petrol,volkswagen,yes,22.33
700,limousine,manual,75,golf,150000,petrol,volkswagen,no,23.67
1050,kombi,manual,90,passat,150000,petrol,volkswagen,no,24.58
33900,kombi,automatic,204,a6,40000,diesel,audi,no,6.92
6000,limousine,automatic,160,insignia,100000,diesel,opel,no,10.75
750,small car,manual,45,corsa,150000,petrol,opel,no,25
790,limousine,manual,84,andere,150000,petrol,suzuki,no,25.5
599,limousine,manual,90,80,150000,petrol,audi,no,28
2450,small car,manual,54,polo,150000,petrol,volkswagen,no,17.08
10999,limousine,manual,140,civic,40000,petrol,honda,no,9.25
800,,manual,75,golf,150000,petrol,volkswagen,,4.25
750,,manual,50,fiesta,70000,petrol,ford,,3
999,bus,manual,116,voyager,150000,diesel,chrysler,,20
7800,kombi,manual,230,,150000,,audi,,13
3000,,manual,163,c_klasse,150000,,mercedes_benz,,3.67
690,small car,manual,60,polo,150000,petrol,volkswagen,no,21.17
600,kombi,manual,75,golf,150000,petrol,volkswagen,no,22.5
3999,limousine,manual,105,golf,80000,petrol,volkswagen,no,17.75
52900,cabrio,manual,315,boxster,20000,petrol,porsche,no,8.92
2000,kombi,manual,101,a4,125000,petrol,audi,yes,22.83
700,kombi,manual,75,astra,150000,petrol,opel,no,22
15900,cabrio,automatic,163,clk,90000,petrol,mercedes_benz,no,13.25
4300,cabrio,manual,136,2_reihe,80000,petrol,peugeot,no,18.33
3850,limousine,manual,105,astra,100000,petrol,opel,no,15.17
5900,small car,manual,69,i_reihe,10000,petrol,hyundai,no,7.58
1500,limousine,manual,102,3er,150000,petrol,bmw,no,26.33
2100,others,automatic,105,3er,100000,petrol,bmw,no,21.83
18000,kombi,automatic,231,c_klasse,70000,petrol,mercedes_benz,no,11.33
1250,small car,manual,55,polo,150000,petrol,volkswagen,no,26.42
3600,limousine,manual,105,leon,150000,petrol,seat,no,16.25
3999,small car,manual,75,colt,90000,petrol,mitsubishi,no,11.5
2850,bus,manual,101,transit,150000,diesel,ford,no,19.5
3200,,manual,88,,125000,,citroen,no,3.17
400,small car,manual,60,punto,150000,petrol,fiat,no,25.5
1500,limousine,automatic,101,a4,150000,petrol,audi,no,24.92
180,kombi,manual,75,astra,150000,petrol,opel,no,24.83
20900,kombi,manual,184,5er,150000,diesel,bmw,no,8.92
4800,kombi,manual,105,astra,150000,petrol,opel,no,15.83
650,limousine,manual,58,,150000,petrol,sonstige_autos,,30.75
5999,bus,manual,95,vito,150000,diesel,mercedes_benz,no,13.83
5299,limousine,manual,105,golf,150000,diesel,volkswagen,no,16.92
15500,suv,automatic,184,tucson,150000,diesel,hyundai,,10.92
5555,cabrio,automatic,45,fortwo,125000,diesel,smart,no,11.58
5500,limousine,manual,105,golf,150000,diesel,volkswagen,,13
1200,kombi,manual,121,andere,150000,,mazda,yes,17.25
8000,,manual,122,1er,80000,petrol,bmw,no,5
12500,coupe,manual,370,tt,150000,petrol,audi,,21.67
490,small car,manual,70,corsa,150000,petrol,opel,,23
4500,coupe,manual,170,3er,150000,petrol,bmw,,22
13000,suv,automatic,360,andere,125000,petrol,chevrolet,no,18.08
4300,,manual,105,golf,150000,diesel,volkswagen,,15
2800,kombi,manual,155,mondeo,150000,diesel,ford,no,15.58
8250,limousine,automatic,170,golf,150000,diesel,volkswagen,no,14.83
14490,limousine,manual,131,qashqai,70000,diesel,nissan,no,8.83
1250,,manual,109,,150000,petrol,citroen,no,4.58
1400,small car,automatic,75,twingo,125000,petrol,renault,yes,19.92
6900,limousine,manual,224,leon,150000,petrol,seat,no,17.92
11500,suv,automatic,163,m_klasse,90000,diesel,mercedes_benz,,15.67
24500,kombi,manual,184,e_klasse,40000,petrol,mercedes_benz,no,8.58
12699,kombi,automatic,190,a6,150000,diesel,audi,no,11.08
16800,bus,manual,131,transporter,150000,diesel,volkswagen,no,12.58
5800,cabrio,automatic,71,fortwo,70000,petrol,smart,no,11.75
